id;work_year;3peri0ce_0eve0;e114oy10t_type;job_t270e;2a0ary;2a0ary_curr0cy;2a0ary_6_1;e114oyee_r7i5nce;re1ote_r3io;co1pany_0o0tion;co1pany_32ze
97;2021;1;0;45;450000;1;450000;1;100;1;0
461;2022;0;0;45;100000;1;100000;1;50;1;0
74;2021;3;0;36;235000;1;235000;1;100;1;0
78;2021;1;2;21;270000;1;270000;1;100;1;0
455;2022;1;0;34;240000;6;37236;1;50;1;0
125;2021;1;0;29;151000;1;151000;1;100;1;0
138;2021;2;0;29;220000;1;220000;1;0;1;0
173;2021;2;0;29;235000;1;235000;1;100;1;0
215;2021;2;0;31;185000;1;185000;1;100;1;0
252;2021;3;0;31;600000;1;600000;1;100;1;0
466;2022;2;0;20;144000;1;144000;1;50;1;0
508;2022;0;0;20;120000;1;120000;1;100;1;0
57;2020;1;0;0;118000;1;118000;1;100;1;1
59;2020;1;0;0;138350;1;138350;1;100;1;1
139;2021;0;0;0;80000;1;80000;1;100;1;1
151;2021;1;0;0;150000;1;150000;1;100;1;1
275;2021;0;0;0;100000;1;100000;1;100;1;1
292;2022;1;0;0;130000;1;130000;1;0;1;1
293;2022;1;0;0;90000;1;90000;1;0;1;1
298;2022;2;0;0;136620;1;136620;1;100;1;1
299;2022;2;0;0;99360;1;99360;1;100;1;1
302;2022;2;0;0;146000;1;146000;1;100;1;1
303;2022;2;0;0;123000;1;123000;1;100;1;1
315;2022;2;0;0;165220;1;165220;1;100;1;1
317;2022;2;0;0;120160;1;120160;1;100;1;1
347;2022;2;0;0;95550;1;95550;1;0;1;1
352;2022;2;0;0;167000;1;167000;1;100;1;1
353;2022;2;0;0;123000;1;123000;1;100;1;1
356;2022;2;0;0;150000;1;150000;1;0;1;1
357;2022;2;0;0;211500;1;211500;1;100;1;1
365;2022;2;0;0;138600;1;138600;1;100;1;1
369;2022;2;0;0;170000;1;170000;1;100;1;1
370;2022;2;0;0;123000;1;123000;1;100;1;1
409;2022;2;0;0;180000;1;180000;1;100;1;1
416;2022;2;0;0;260000;1;260000;1;100;1;1
423;2022;2;0;0;180000;1;180000;1;0;1;1
424;2022;2;0;0;80000;1;80000;1;0;1;1
467;2022;2;0;0;104890;1;104890;1;100;1;1
469;2022;2;0;0;140000;1;140000;1;100;1;1
472;2022;2;0;0;220000;1;220000;1;100;1;1
473;2022;2;0;0;140000;1;140000;1;100;1;1
476;2022;2;0;0;185100;1;185100;1;100;1;1
478;2022;1;0;0;200000;1;200000;1;100;1;1
479;2022;1;0;0;120000;1;120000;1;100;1;1
486;2022;2;0;0;230000;1;230000;1;100;1;1
497;2022;2;0;0;165000;1;165000;1;100;1;1
526;2022;1;0;0;78000;1;78000;1;100;1;1
538;2022;1;0;0;141300;1;141300;1;0;1;1
539;2022;1;0;0;102100;1;102100;1;0;1;1
552;2022;2;0;0;176000;1;176000;1;100;1;1
553;2022;2;0;0;144000;1;144000;1;100;1;1
558;2022;2;0;0;205300;1;205300;1;0;1;1
559;2022;2;0;0;140400;1;140400;1;0;1;1
569;2022;2;0;0;140000;1;140000;1;100;1;1
570;2022;2;0;0;210000;1;210000;1;100;1;1
571;2022;2;0;0;140000;1;140000;1;100;1;1
574;2022;2;0;0;210000;1;210000;1;100;1;1
575;2022;2;0;0;140000;1;140000;1;100;1;1
576;2022;2;0;0;210000;1;210000;1;100;1;1
587;2022;2;0;0;140000;1;140000;1;100;1;1
592;2022;2;0;0;230000;1;230000;1;100;1;1
593;2022;2;0;0;150000;1;150000;1;100;1;1
596;2022;2;0;0;210000;1;210000;1;100;1;1
598;2022;1;0;0;160000;1;160000;1;100;1;1
599;2022;1;0;0;130000;1;130000;1;100;1;1
495;2022;1;0;1;153000;1;153000;1;50;1;1
371;2022;2;0;4;189650;1;189650;1;0;1;1
372;2022;2;0;4;164996;1;164996;1;0;1;1
438;2022;2;0;4;189650;1;189650;1;0;1;1
439;2022;2;0;4;164996;1;164996;1;0;1;1
477;2022;2;0;4;220000;1;220000;1;100;1;1
485;2022;2;0;4;120000;1;120000;1;100;1;1
532;2022;2;0;4;214000;1;214000;1;100;1;1
533;2022;2;0;4;192600;1;192600;1;100;1;1
79;2021;0;0;5;80000;1;80000;1;100;1;1
122;2021;0;0;5;50000;1;50000;1;100;1;1
135;2021;1;0;5;90000;1;90000;1;100;1;1
290;2022;2;0;5;155000;1;155000;1;100;1;1
291;2022;2;0;5;120600;1;120600;1;100;1;1
296;2022;2;0;5;102100;1;102100;1;100;1;1
297;2022;2;0;5;84900;1;84900;1;100;1;1
305;2022;2;0;5;99000;1;99000;1;0;1;1
306;2022;2;0;5;116000;1;116000;1;0;1;1
307;2022;1;0;5;106260;1;106260;1;0;1;1
308;2022;1;0;5;126500;1;126500;1;0;1;1
318;2022;2;0;5;90320;1;90320;1;100;1;1
325;2022;2;0;5;124190;1;124190;1;100;1;1
326;2022;3;0;5;130000;1;130000;1;100;1;1
327;2022;3;0;5;110000;1;110000;1;100;1;1
328;2022;2;0;5;170000;1;170000;1;100;1;1
329;2022;1;0;5;115500;1;115500;1;100;1;1
330;2022;2;0;5;112900;1;112900;1;100;1;1
331;2022;2;0;5;90320;1;90320;1;100;1;1
332;2022;2;0;5;112900;1;112900;1;100;1;1
333;2022;2;0;5;90320;1;90320;1;100;1;1
336;2022;1;0;5;167000;1;167000;1;100;1;1
338;2022;2;0;5;136600;1;136600;1;100;1;1
339;2022;2;0;5;109280;1;109280;1;100;1;1
349;2022;2;0;5;135000;1;135000;1;100;1;1
376;2022;2;0;5;132000;1;132000;1;0;1;1
382;2022;2;0;5;128875;1;128875;1;100;1;1
383;2022;2;0;5;93700;1;93700;1;100;1;1
387;2022;2;0;5;164000;1;164000;1;0;1;1
392;2022;2;0;5;112900;1;112900;1;100;1;1
393;2022;2;0;5;90320;1;90320;1;100;1;1
402;2022;2;0;5;115934;1;115934;1;0;1;1
403;2022;2;0;5;81666;1;81666;1;0;1;1
470;2022;1;0;5;135000;1;135000;1;100;1;1
471;2022;1;0;5;50000;1;50000;1;100;1;1
527;2022;2;0;5;135000;1;135000;1;100;1;1
528;2022;2;0;5;100000;1;100000;1;100;1;1
529;2022;2;0;5;90320;1;90320;1;100;1;1
536;2022;2;0;5;112900;1;112900;1;100;1;1
540;2022;2;0;5;115934;1;115934;1;100;1;1
541;2022;2;0;5;81666;1;81666;1;100;1;1
548;2022;2;0;5;99050;1;99050;1;100;1;1
564;2022;2;0;5;116150;1;116150;1;100;1;1
566;2022;2;0;5;170000;1;170000;1;100;1;1
568;2022;2;0;5;80000;1;80000;1;100;1;1
572;2022;2;0;5;100000;1;100000;1;100;1;1
573;2022;2;0;5;69000;1;69000;1;100;1;1
577;2022;2;0;5;150075;1;150075;1;100;1;1
580;2022;2;0;5;126500;1;126500;1;100;1;1
581;2022;2;0;5;106260;1;106260;1;100;1;1
584;2022;2;0;5;105000;1;105000;1;100;1;1
585;2022;2;0;5;110925;1;110925;1;100;1;1
588;2022;2;0;5;99000;1;99000;1;0;1;1
589;2022;2;0;5;60000;1;60000;1;100;1;1
597;2022;2;0;5;170000;1;170000;1;100;1;1
604;2022;2;0;5;129000;1;129000;1;0;1;1
605;2022;2;0;5;150000;1;150000;1;100;1;1
108;2021;2;0;10;150000;1;150000;1;100;1;1
207;2021;2;0;10;165000;1;165000;1;0;1;1
266;2021;1;0;10;93150;1;93150;1;0;1;1
267;2021;1;0;10;111775;1;111775;1;0;1;1
289;2022;2;0;10;135000;1;135000;1;100;1;1
294;2022;1;0;10;170000;1;170000;1;100;1;1
295;2022;1;0;10;150000;1;150000;1;100;1;1
309;2022;3;0;10;242000;1;242000;1;100;1;1
310;2022;3;0;10;200000;1;200000;1;100;1;1
319;2022;2;0;10;181940;1;181940;1;0;1;1
320;2022;2;0;10;132320;1;132320;1;0;1;1
321;2022;2;0;10;220110;1;220110;1;0;1;1
322;2022;2;0;10;160080;1;160080;1;0;1;1
334;2022;2;0;10;165400;1;165400;1;100;1;1
335;2022;2;0;10;132320;1;132320;1;100;1;1
337;2022;2;0;10;243900;1;243900;1;100;1;1
340;2022;2;0;10;128875;1;128875;1;100;1;1
341;2022;2;0;10;93700;1;93700;1;100;1;1
345;2022;2;0;10;156600;1;156600;1;100;1;1
346;2022;2;0;10;108800;1;108800;1;0;1;1
366;2022;2;0;10;136000;1;136000;1;0;1;1
377;2022;2;0;10;165400;1;165400;1;100;1;1
380;2022;2;0;10;136994;1;136994;1;100;1;1
381;2022;2;0;10;101570;1;101570;1;100;1;1
385;2022;2;0;10;132320;1;132320;1;100;1;1
388;2022;2;0;10;155000;1;155000;1;100;1;1
404;2022;2;0;10;175000;1;175000;1;100;1;1
418;2022;1;0;10;63900;1;63900;1;0;1;1
425;2022;1;0;10;82900;1;82900;1;0;1;1
448;2022;2;0;10;180000;1;180000;1;100;1;1
450;2022;2;0;10;80000;1;80000;1;100;1;1
456;2022;2;0;10;105000;1;105000;1;100;1;1
465;2022;0;0;10;120000;1;120000;1;100;1;1
468;2022;2;0;10;100000;1;100000;1;100;1;1
482;2022;3;0;10;324000;1;324000;1;100;1;1
483;2022;3;0;10;216000;1;216000;1;100;1;1
484;2022;2;0;10;210000;1;210000;1;100;1;1
504;2022;2;0;10;115000;1;115000;1;100;1;1
537;2022;2;0;10;155000;1;155000;1;100;1;1
542;2022;1;0;10;206699;1;206699;1;0;1;1
543;2022;1;0;10;99100;1;99100;1;0;1;1
544;2022;2;0;10;130000;1;130000;1;100;1;1
545;2022;2;0;10;115000;1;115000;1;100;1;1
546;2022;2;0;10;110500;1;110500;1;100;1;1
547;2022;2;0;10;130000;1;130000;1;100;1;1
549;2022;2;0;10;160000;1;160000;1;100;1;1
554;2022;2;0;10;200100;1;200100;1;100;1;1
555;2022;2;0;10;160000;1;160000;1;100;1;1
556;2022;2;0;10;145000;1;145000;1;100;1;1
557;2022;2;0;10;70500;1;70500;1;0;1;1
562;2022;2;0;10;175100;1;175100;1;100;1;1
563;2022;2;0;10;140250;1;140250;1;100;1;1
565;2022;2;0;10;54000;1;54000;1;0;1;1
578;2022;2;0;10;100000;1;100000;1;100;1;1
579;2022;2;0;10;25000;1;25000;1;100;1;1
582;2022;2;0;10;220110;1;220110;1;100;1;1
583;2022;2;0;10;160080;1;160080;1;100;1;1
602;2022;2;0;10;154000;1;154000;1;100;1;1
603;2022;2;0;10;126000;1;126000;1;100;1;1
391;2022;1;0;11;120000;1;120000;1;0;1;1
378;2022;2;0;12;208775;1;208775;1;100;1;1
379;2022;2;0;12;147800;1;147800;1;100;1;1
534;2022;2;0;12;266400;1;266400;1;100;1;1
535;2022;2;0;12;213120;1;213120;1;100;1;1
590;2022;2;0;12;192564;1;192564;1;100;1;1
591;2022;2;0;12;144854;1;144854;1;100;1;1
158;2021;2;0;13;120000;1;120000;1;100;1;1
394;2022;2;0;13;145000;1;145000;1;100;1;1
395;2022;2;0;13;105400;1;105400;1;100;1;1
594;2022;2;0;13;150260;1;150260;1;100;1;1
595;2022;2;0;13;109280;1;109280;1;100;1;1
344;2022;3;0;14;175000;1;175000;1;100;1;1
368;2022;3;0;14;135000;1;135000;1;100;1;1
560;2022;2;0;14;205300;1;205300;1;0;1;1
561;2022;2;0;14;184700;1;184700;1;0;1;1
23;2020;1;0;24;98000;1;98000;1;0;1;1
76;2021;1;0;24;100000;1;100000;1;100;1;1
454;2022;0;0;19;125000;1;125000;1;0;1;1
98;2021;0;0;39;70000;1;70000;1;100;1;1
67;2020;2;0;37;190200;1;190200;1;100;1;1
350;2022;2;0;37;161342;1;161342;1;100;1;1
351;2022;2;0;37;137141;1;137141;1;100;1;1
421;2022;1;0;37;241000;1;241000;1;100;1;1
422;2022;1;0;37;159000;1;159000;1;100;1;1
516;2022;2;0;37;152500;1;152500;1;100;1;1
342;2022;3;0;28;224000;1;224000;1;100;1;1
343;2022;3;0;28;167875;1;167875;1;100;1;1
201;2021;2;0;35;195000;1;195000;1;100;1;1
121;2021;2;0;31;200000;1;200000;1;100;1;1
249;2021;2;0;32;170000;1;170000;1;100;1;1
33;2020;1;0;20;450000;1;450000;1;0;1;1
283;2021;2;2;30;105000;1;105000;1;100;1;1
68;2020;0;0;0;105000;1;105000;1;100;1;2
134;2021;0;0;0;100000;1;100000;1;0;1;2
143;2021;1;0;0;82500;1;82500;1;100;1;2
251;2021;0;0;0;90000;1;90000;1;100;1;2
126;2021;2;0;1;120000;1;120000;1;50;1;2
39;2020;0;0;4;138000;1;138000;1;100;1;2
159;2021;0;0;4;125000;1;125000;1;100;1;2
178;2021;0;0;4;81000;1;81000;1;50;1;2
453;2022;1;0;4;120000;1;120000;1;100;1;2
118;2021;0;0;5;90000;1;90000;1;100;1;2
172;2021;0;0;5;60000;1;60000;1;100;1;2
367;2022;1;0;5;58000;1;58000;1;0;1;2
406;2022;1;0;5;58000;1;58000;1;0;1;2
6;2020;2;0;6;190000;1;190000;1;100;1;2
107;2021;2;0;10;115000;1;115000;1;100;1;2
512;2022;0;0;10;65000;1;65000;1;100;1;2
168;2021;0;0;24;55000;1;55000;1;50;1;2
199;2021;0;0;38;90000;1;90000;1;100;1;2
235;2021;1;0;28;110000;1;110000;1;0;1;2
231;2021;2;0;21;256000;1;256000;1;100;1;2
225;2021;3;2;29;416000;1;416000;1;100;1;2
190;2021;2;0;37;152000;1;152000;1;100;8;0
279;2021;0;0;7;50000;0;59102;2;100;2;0
35;2020;1;0;10;65000;0;74130;3;50;3;0
507;2022;1;0;20;59000;0;64849;3;0;3;0
69;2020;2;0;0;80000;0;91237;3;0;3;2
494;2022;2;0;0;100000;1;100000;4;100;1;1
96;2021;0;13;11;12000;1;12000;4;100;1;2
149;2021;2;0;26;160000;1;160000;4;100;1;2
133;2021;2;0;19;24000;1;24000;4;100;4;1
271;2021;2;0;19;102000;10;18907;4;0;4;1
205;2021;1;0;0;69600;10;12901;4;0;4;2
99;2021;1;0;39;81000;0;95746;5;100;1;2
200;2021;1;0;0;52000;0;61467;5;50;3;1
0;2020;1;0;0;70000;0;79833;5;0;5;0
181;2021;1;0;0;76760;0;90734;5;50;5;0
217;2021;1;0;0;76760;0;90734;5;50;5;0
227;2021;1;0;0;75000;0;88654;5;50;5;0
110;2021;2;0;4;80000;0;94564;5;50;5;0
261;2021;2;0;5;54000;0;63831;5;50;5;0
462;2022;1;13;10;50000;0;54957;5;50;5;0
80;2021;2;0;33;67000;0;79197;5;100;5;0
163;2021;0;0;38;54000;0;63831;5;50;5;0
272;2021;0;0;38;65000;0;76833;5;0;5;0
259;2021;3;0;22;120000;0;141846;5;0;5;0
214;2021;0;0;4;21000;0;24823;5;50;5;1
269;2021;0;0;10;55000;0;65013;5;50;5;1
164;2021;3;0;22;110000;0;130026;5;50;5;1
457;2022;2;0;47;80000;0;87932;5;0;5;1
55;2020;2;0;29;130000;0;148261;5;100;5;1
257;2021;2;0;29;147000;0;173762;5;100;5;1
464;2022;2;0;29;148000;0;162674;5;100;5;1
65;2020;0;0;0;55000;0;62726;5;50;5;2
66;2020;0;0;0;43200;0;49268;5;0;5;2
30;2020;1;0;17;51999;0;59303;5;100;5;2
91;2021;0;0;38;65000;0;76833;5;100;5;2
45;2020;0;13;21;14000;0;15966;5;100;5;2
606;2022;1;0;11;200000;1;200000;6;100;1;0
73;2021;3;0;24;150000;1;150000;6;100;1;0
198;2021;2;0;37;4000000;4;54094;6;50;1;0
179;2021;1;0;0;420000;4;5679;6;100;1;2
11;2020;1;0;0;3000000;4;40481;6;0;6;0
94;2021;0;0;0;2200000;4;29751;6;50;6;0
459;2022;1;0;0;2400000;4;31615;6;100;6;0
180;2021;1;0;2;1672000;4;22611;6;0;6;0
230;2021;0;0;2;1200000;4;16228;6;100;6;0
21;2020;1;0;3;450000;4;6072;6;100;6;0
197;2021;2;0;4;1799997;4;24342;6;100;6;0
263;2021;2;0;4;4900000;4;66265;6;0;6;0
129;2021;2;0;6;3000000;4;40570;6;50;6;0
92;2021;1;0;9;1450000;4;19609;6;100;6;0
109;2021;0;0;10;2250000;4;30428;6;100;6;0
285;2021;2;0;37;7000000;4;94665;6;50;6;0
384;2022;3;0;46;6000000;4;79039;6;50;6;0
222;2021;1;0;0;2500000;4;33808;6;0;6;1
253;2021;0;0;0;2100000;4;28399;6;100;6;1
463;2022;0;0;0;1400000;4;18442;6;100;6;1
458;2022;1;0;7;1400000;4;18442;6;100;6;1
239;2021;0;0;10;1600000;4;21637;6;50;6;1
77;2021;1;13;18;400000;4;5409;6;50;6;1
18;2020;0;0;38;423000;4;5707;6;50;6;1
127;2021;1;0;0;700000;4;9466;6;0;6;2
262;2021;1;0;0;1250000;4;16904;6;100;6;2
128;2021;0;0;4;20000;1;20000;6;100;6;2
50;2020;0;0;5;450000;4;6072;6;0;6;2
213;2021;0;0;2;435000;4;5882;6;0;12;0
244;2021;0;0;11;1335000;4;18053;6;100;39;2
61;2020;1;0;10;130800;1;130800;7;100;1;1
202;2021;1;0;0;32000;0;37825;7;100;7;0
277;2021;2;0;11;55000;1;55000;7;100;7;0
41;2020;3;0;17;70000;0;79833;7;50;7;0
56;2020;1;0;0;34000;0;38776;7;100;7;1
237;2021;1;0;0;39600;0;46809;7;100;7;1
124;2021;0;13;5;8760;0;10354;7;50;7;1
430;2022;1;0;5;40000;0;43966;7;100;7;1
431;2022;1;0;5;30000;0;32974;7;100;7;1
427;2022;1;0;10;45000;0;49461;7;100;7;1
432;2022;1;0;10;80000;0;87932;7;100;7;1
433;2022;1;0;10;70000;0;76940;7;100;7;1
436;2022;1;0;10;60000;0;65949;7;100;7;1
83;2021;1;0;4;40000;0;47282;7;100;7;2
120;2021;1;0;2;60000;1;60000;7;50;30;1
203;2021;2;0;20;50000;1;50000;8;100;1;2
70;2020;1;0;0;55000;0;62726;8;50;2;2
396;2022;1;0;4;80000;0;87932;8;100;5;1
187;2021;3;0;38;59000;0;69741;8;100;7;2
75;2021;2;0;0;45000;0;53192;8;50;8;0
246;2021;0;0;0;31000;0;36643;8;50;8;0
34;2020;1;0;5;41000;0;46759;8;50;8;0
49;2020;1;0;10;61500;0;70139;8;50;8;0
498;2022;2;0;20;85000;0;93427;8;50;8;0
12;2020;0;0;0;35000;0;39916;8;0;8;1
131;2021;0;0;0;42000;0;49646;8;50;8;1
274;2021;2;0;0;65720;0;77684;8;50;8;1
86;2021;0;0;5;50000;0;59102;8;50;8;1
517;2022;1;0;10;62000;0;68147;8;100;8;1
146;2021;1;0;20;53000;0;62649;8;50;8;1
10;2020;0;0;0;45000;0;51321;8;0;8;2
71;2020;1;0;0;37000;0;42197;8;50;8;2
211;2021;1;0;20;48000;0;56738;8;50;8;2
82;2021;1;0;15;68000;8;54238;9;50;0;0
221;2021;1;0;0;85000;2;116914;9;50;9;0
223;2021;1;0;0;40900;2;56256;9;50;9;0
386;2022;0;0;4;28500;2;37300;9;100;9;0
105;2021;1;0;5;37456;2;51519;9;50;9;0
44;2020;1;0;10;88000;2;112872;9;50;9;0
171;2021;1;0;10;60000;2;82528;9;100;9;0
245;2021;1;0;10;52500;2;72212;9;50;9;0
248;2021;2;0;10;70000;2;96282;9;50;9;0
123;2021;0;0;15;80000;2;110037;9;0;9;0
183;2021;2;0;44;45000;2;61896;9;50;9;0
72;2021;0;0;20;60000;2;82528;9;50;9;0
300;2022;2;0;0;90000;2;117789;9;0;9;1
301;2022;2;0;0;80000;2;104702;9;0;9;1
311;2022;1;0;0;50000;2;65438;9;0;9;1
312;2022;1;0;0;30000;2;39263;9;0;9;1
410;2022;1;0;0;55000;2;71982;9;0;9;1
411;2022;1;0;0;35000;2;45807;9;0;9;1
474;2022;1;0;0;140000;2;183228;9;0;9;1
475;2022;1;0;0;70000;2;91614;9;0;9;1
2;2020;2;0;2;85000;2;109024;9;50;9;1
389;2022;1;0;4;95000;2;124333;9;0;9;1
390;2022;1;0;4;75000;2;98158;9;0;9;1
408;2022;1;0;5;40000;2;52351;9;100;9;1
429;2022;1;0;5;30000;2;39263;9;100;9;1
567;2022;1;0;5;50000;2;65438;9;0;9;1
586;2022;1;0;5;35000;2;45807;9;0;9;1
304;2022;0;0;10;40000;2;52351;9;100;9;1
313;2022;1;0;10;60000;2;78526;9;0;9;1
314;2022;1;0;10;40000;2;52351;9;0;9;1
316;2022;0;0;10;35000;2;45807;9;100;9;1
354;2022;2;0;10;60000;2;78526;9;0;9;1
355;2022;2;0;10;50000;2;65438;9;0;9;1
397;2022;1;0;10;90000;2;117789;9;0;9;1
405;2022;1;0;10;75000;2;98158;9;0;9;1
414;2022;1;0;10;60000;2;78526;9;100;9;1
415;2022;1;0;10;45000;2;58894;9;100;9;1
434;2022;1;0;10;80000;2;104702;9;100;9;1
435;2022;1;0;10;70000;2;91614;9;100;9;1
442;2022;1;0;10;75000;2;98158;9;100;9;1
443;2022;1;0;10;60000;2;78526;9;100;9;1
111;2021;2;0;42;82500;2;113476;9;100;9;1
46;2020;1;0;0;60000;2;76958;9;100;9;2
112;2021;2;0;8;75000;2;103160;9;100;9;2
32;2020;2;0;0;60000;0;68428;10;100;1;0
22;2020;2;0;10;42000;0;47899;10;50;10;0
440;2022;1;0;5;40000;0;43966;10;100;10;1
441;2022;1;0;5;30000;0;32974;10;100;10;1
412;2022;1;0;10;60000;0;65949;10;100;10;1
413;2022;1;0;10;45000;0;49461;10;100;10;1
437;2022;1;0;10;80000;0;87932;10;100;10;1
