A1; A2; A3; A4; A5; A6; A7; A8; A9; A10; A11; A12; A13; A14; A15; A16; A17; A18; A19; A20; Class
-13.413; 0.7071; -0.3894;-17.727; 0.5828; -0.2171;-24.343; 0.0025; -0.0077;-12.153; -0.3426;-13.633; -0.8748; -0.4961; -0.7337; -0.1551; -0.1990;-12.072; 0.5351; 0.1769;1
-12.737;13.905; -0.4411; 0.4517;-14.507; -0.6442; -0.4717; 0.7053;13.503; -0.4156; 0.2384;10.078; 0.8860;-15.232; 0.6756; 0.9833;15.308; 0.2589; 0.1003; -0.7151;0
-0.1769;-16.978;-15.334; 0.2280;-19.768; 0.1069; -0.5774; -0.6714;-11.332; 0.7719; 0.2564;-12.130; -0.5503; -0.6047; -0.8091; -0.3889; 0.1346; 0.0564;10.598; -0.2599;1
-16.069; -0.2492;-24.320; -0.6203; 0.5136; -0.9040; -0.6469; 0.1432;-13.866; 0.6882; 0.0733; -0.6756; -0.2685;-19.093; 0.5174; 0.0792; -0.8843; 0.3130; -0.9143;-13.683;1
 0.9371; 0.0505; -0.8895; -0.7496; 0.0076;-11.231; 0.1197; -0.0030; -0.7758;-18.778;-10.638;-13.011;-33.310; -0.1272;-10.706; -0.4879; -0.2041; -0.2326;-14.610; -0.1735;1
-14.109; 0.5350; 0.3639; -0.5772; -0.0547;-19.344;-21.996;-14.273;-11.568;12.674; -0.9255; -0.8467; 0.1303; 0.0052; -0.3814; 0.7856;-15.538;-10.281;17.261; -0.5213;1
-14.728; 0.6526; -0.5887;-12.314;14.335;-10.324; 0.6999; 0.7397; -0.8122;14.549;-12.524;-21.139; -0.5315;-22.243; 0.3871; -0.6655; 0.6178; -0.9905; -0.7957;-12.488;1
18.351;10.981; -0.6455;20.222; -0.2534; 0.7427; -0.0935;10.964;-11.736; 0.9581; -0.2856;21.973;-20.905; -0.8398;20.079;-20.419;20.675; 0.7183;10.059;17.800;0
24.622; 0.1680; 0.8421; 0.0459; 0.5017;18.559;15.590; -0.2945;-11.300; 0.1215; 0.7229; 0.2166;-11.217; 0.7313;21.693; -0.2770;10.023; -0.8635;15.884; 0.5078;0
-28.472;13.991;23.894; -0.1118; -0.3478;-26.549;-16.038; -0.3639; -0.3070; 0.4890; -0.3040; 0.1147; 0.5454; 0.4672; -0.3426; -0.8842; -0.2702; 0.5606; -0.4717; -0.1617;1
 0.3853; -0.7743;-16.799; -0.7385; -0.5065; 0.6665;-12.168; -0.2349; -0.0700;10.888; -0.7377; -0.2275; -0.7977; 0.3254;10.648; -0.0331;-15.656; 0.0141;-14.358; -0.6591;1
-11.340; 0.7671;15.234;-20.327; -0.2262;17.874; 0.7383; 0.9001;10.131; 0.3515;12.065; 0.2923; -0.8487; 0.3927; 0.6506; -0.9189; 0.5534; -0.1620;12.226;19.173;0
 0.8056; -0.1297; -0.8692; 0.2394; -0.3089; 0.4473; 0.4668; -0.2317;19.058; -0.0415; -0.1243; 0.6362; -0.3289; -0.6570; 0.2592;-15.637;-11.309;24.788; 0.5152;12.602;0
-20.343;-14.518; -0.2080;-11.149; 0.3199;10.126; 0.2142;-29.514;10.884;-10.820; -0.8306; -0.6203; 0.2734; -0.0708;-11.299;-21.147;-13.711; -0.3349; 0.7432;-11.301;1
 0.3431; -0.2065; -0.0582; 0.2355;-25.652; 0.1738; 0.7949; 0.8904; 0.0293;-12.361; -0.6683; 0.9250;11.256; -0.1299; -0.7382; 0.5627; -0.1280;-14.884; 0.9246; -0.6820;0
-0.3637; -0.0034; 0.2310;-13.357;18.333; 0.4081; -0.7093; -0.1763; 0.0637; -0.4637; -0.1233; -0.4181; -0.5719; 0.4296; -0.5225;-11.846; 0.0040; -0.1008;-20.542; -0.3582;1
 0.3975;-11.279;-11.988;-14.314; -0.1873;-16.196; -0.7602; -0.8741;-23.324; 0.3645; 0.9253; 0.5312; -0.5905;-15.170; -0.8240; -0.4296;-24.746; -0.8375; -0.7130;-13.519;1
16.805; -0.9258; -0.0937; 0.2464;-10.330;-17.706;-12.487; 0.0351; -0.4000; -0.4632; 0.2046; 0.2424; 0.4705; 0.6238;-12.960;-18.870;12.586; -0.2443;18.665;-14.511;1
 0.5283; 0.1669;26.369; 0.1932;17.476;18.988; 0.8558; 0.4779; 0.4476; -0.1636; -0.2842; -0.0062;11.600; 0.7346;-17.294;-13.107; 0.1396;-14.838; 0.8917; 0.3450;0
 0.6064; 0.9351; -0.2627;11.571;12.736;12.177; 0.8091;-10.593; -0.0215; 0.6421; 0.1771;12.370;16.771; 0.7956; 0.3027; -0.1996; -0.6416; 0.0418; 0.6215; 0.8960;0
 0.2886; 0.4991;-13.311; 0.9328; -0.3030;16.860; 0.5484; 0.5402; 0.7906; 0.4490;17.394;10.946; 0.4770;15.651; 0.8559; -0.3973;17.649;14.677; 0.3480; -0.9644;0
-13.190;-10.406; 0.2278; 0.2107; 0.1657; -0.0946; 0.6876;-10.962; -0.3121;-13.191; 0.8937; 0.0758; -0.6334; -0.6144;-24.636;-15.312;10.778; -0.2241;-17.099;-18.224;1
 0.8945;13.853; 0.8183; 0.9456; -0.0506;10.774;17.774; 0.9830; -0.3283;19.512; -0.0647;19.233; 0.5300; 0.4370; -0.8953; -0.0960; 0.6377; -0.3734; -0.9387; 0.8343;0
-0.8701; 0.5456;-17.224; -0.4764; -0.3746; 0.8844;-13.284; 0.1720;-14.448;-12.310; -0.5063;11.216; 0.9923;-13.208;21.898; -0.6438; -0.0044;-10.480;13.896; -0.1309;1
 0.4492;-17.159; -0.6053;15.420;-22.849; -0.3464; -0.0868; 0.7383; 0.9349;-12.743;-26.372; -0.6378; 0.0882; -0.9884;-21.401; 0.2390;-10.099;14.092; -0.8953; 0.3217;1
23.227;16.632;10.099; 0.2165;22.847; 0.4637; 0.8105;23.448; 0.1878;13.126;-16.629;12.613; 0.6879;13.553; 0.9368;16.977; 0.1599;-11.895; -0.9676; 0.1536;0
 0.2320; -0.8678; -0.5917;10.265; -0.4873; 0.1422; 0.0307;10.615; -0.4757; -0.4710; -0.4662;-15.329;-10.808;-10.355; -0.4424; -0.8385; -0.4228; 0.3139; -0.4497; 0.9232;1
 0.0071; -0.5668;13.508;11.590; -0.7721; -0.1489; -0.3223;-11.820;-29.905; 0.0529;-10.591; 0.6782; 0.2933;11.313;-20.152; 0.6598; 0.7367;-20.777; -0.4424;-11.819;1
-0.9313;-30.227; -0.1499;-21.441;-19.822;-22.053; -0.4819;-18.108;-26.886; -0.3731;-22.315; -0.5451; 0.4023; 0.5805;15.248; -0.3561; -0.1573; -0.2113; 0.7456; -0.0628;1
 0.4954; -0.0838;-12.046; -0.9241; -0.1296;-14.074;13.047; 0.1701; -0.5016;10.839; 0.3665; 0.0236; 0.9624; 0.2951;-17.011; 0.9429;31.887; 0.6173; 0.2408; -0.6946;0
 0.2590; 0.9724; 0.3766; -0.6711; 0.9983; -0.1485;10.596; 0.5910;10.219; 0.1522; 0.4087; 0.9840; 0.7939; -0.7774; 0.2306; -0.1282; 0.0875;10.823;11.105; 0.7909;0
 0.1336; 0.9103; 0.1573;20.636;13.530;25.144;-15.423;21.641;11.930;-20.758;11.121; 0.5155;15.476; -0.9685; 0.3583; -0.3660; 0.0965; 0.3261; -0.1671; -0.9463;0
16.957; -0.2080; 0.7636; 0.5256; -0.2174; 0.4135; 0.9908; -0.7280; 0.0782;-16.106; 0.4619;13.764;20.868; 0.0896;16.641;20.777; 0.3347; 0.2534; -0.1660; 0.0357;0
-10.159; -0.2730;-11.604; 0.5086; -0.3406; 0.3504;18.810;14.090; 0.2265; 0.4250;15.730; 0.2616; 0.6503;-19.402;-19.033; -0.8466; 0.8276; 0.3924; 0.3229; 0.6529;0
-0.5370; 0.0463; 0.2819; 0.1771; -0.5326;-10.219; -0.9146; -0.1285; -0.1269; -0.9997;-13.398; 0.1020; -0.8245;-19.261; -0.5761;-14.477; 0.0346; 0.2253; 0.3940;-14.961;1
 0.6924; -0.0928; 0.8403; 0.9589;20.589;11.361; -0.1161; 0.7655;13.161; 0.1717; 0.1273; -0.4580;15.855; -0.0675; 0.4916;14.696;10.888; -0.6709; -0.3001; 0.7820;0
 0.4703; -0.8229; 0.6918;-12.593; -0.8236; -0.7983; -0.6821;-10.102; -0.9725; -0.9121;-22.333; 0.5192; -0.7670; -0.8140;-18.829;10.561;-29.035; -0.4160; 0.2788;-29.776;1
16.368; -0.1512; 0.5501; -0.4545;-16.006; 0.0369; -0.7975; -0.4134; 0.5250; 0.3477; -0.3386; -0.7236;10.322;15.750; -0.8697;-18.943; -0.8166;10.283; 0.6414; 0.9907;0
-0.3764;-16.499; -0.0895; 0.2723;-12.910; -0.2950; 0.8359; 0.2629; -0.8133; -0.2513;-13.410;-23.484; -0.0510;-11.298; -0.6249; -0.4865; 0.4024; -0.6627; 0.5693;-14.950;1
-22.152; -0.3232;12.996; 0.5631; 0.9435;22.654;26.627;10.328; 0.9224; -0.6274;21.326;11.848;24.293;10.965;22.536; 0.1684; 0.8564;14.380;14.979; -0.4996;0
 0.5425; 0.8128; 0.9422;-19.035;22.501; 0.9018; 0.1231; 0.2210; -0.0893;16.560;20.133; 0.2072; -0.3142;18.501;17.134; -0.6486;16.125;13.247; 0.2647; 0.9181;0
12.119;17.405; 0.6325;10.280; 0.0792;13.296; -0.2373;15.768; -0.0609; 0.4438;14.191; 0.9118;-23.567; -0.8768; -0.1668;16.909; 0.6000; -0.1524;13.801; -0.4408;0
33.239; 0.3748; -0.1478; 0.3271; -0.1621; 0.2320; 0.1866; 0.3006; -0.0545; 0.6817; -0.6525; 0.7826;15.477; -0.0589;-12.980;11.738;14.156;10.170;14.432;20.929;0
18.561;10.524; 0.5681; 0.2718; 0.6757; 0.7855;17.138;24.881; 0.2650; 0.7368;-13.002;13.614;-17.516;17.634; 0.6862;20.141; 0.5350; -0.2366;-10.534; 0.9723;0
 0.0300; 0.5066; -0.0286; 0.8808;10.264; -0.0206;14.073; -0.1765;17.045; -0.1691; 0.0407; 0.8613; 0.5388;-12.294;21.303;12.017; 0.2483;19.971; -0.7262; 0.6014;0
-0.0708; -0.2498;-15.999;-11.951; 0.9169;17.842; 0.4060; -0.8827; -0.7945;12.749; -0.3751;17.164; -0.8303;11.434; 0.9623; -0.2181; 0.4712; 0.8698; 0.5666; 0.7023;0
 0.1241; -0.0199;12.309; -0.0020;22.805; -0.1149; -0.2108;16.216; -0.6639; 0.0069;12.614;-14.489; 0.9261;-20.856;18.962; -0.6696;16.861; 0.3509; -0.6154;25.272;0
-0.7371; 0.5067; 0.4422; -0.5832;17.369;-15.447; 0.6747;-11.563; 0.9926; 0.0283; -0.8922;-20.418;-12.294; -0.5935;-10.568; -0.6759; 0.4816;-29.967; 0.5124; 0.6339;1
-0.6871;-18.864;-13.062;-14.878;-15.397;-12.323;-16.246; -0.7635;-12.836;-15.939; 0.4318; -0.9880; -0.5739;11.120; 0.2813; 0.0278; -0.6564;-11.809; 0.2990;-15.648;1
 0.4123; -0.7206; 0.9922; 0.2963;13.340; 0.0906; 0.7321; 0.2637; -0.8572; -0.1038; -0.0697;12.222; 0.6771; 0.7853; -0.1826;11.651; 0.7162; -0.6161; 0.4531; -0.8582;0
-21.566;-12.860; 0.4644; -0.3681; -0.4450;-14.795; 0.1183;14.653; 0.5435; 0.3221;16.373;-13.819;13.066; 0.6353; 0.6218; -0.6861;12.409;-11.625; -0.8792; 0.1212;0
-18.938;-10.200; 0.7735;-14.237; -0.3013; 0.0792; -0.7076;18.845; 0.5037; -0.3965; -0.8350; -0.0122; -0.6157; -0.8158; -0.0269;-17.893; 0.0718; 0.6550;10.631; 0.1040;1
 0.1571; -0.1903; -0.2899; -0.9306; -0.2030;-13.212; -0.7582; 0.3982; -0.2971; -0.3180; 0.5854; 0.2935;-13.474;-11.311; -0.0622;-18.812;-11.843;-17.244; -0.3378;-16.687;1
 0.2465; -0.6950; 0.6418; -0.2026; -0.8858; -0.7132; -0.8408;10.427;14.186; 0.8703;12.832; 0.4865; 0.4315; -0.8201; -0.0371; 0.0371;11.465;11.687; 0.5181;13.477;0
-18.976;19.112; 0.2389;-13.458;16.785; 0.5854; 0.5846; -0.0011; -0.4627; 0.3359; -0.8149; 0.1786;18.225;14.433; -0.5880; -0.0610; 0.1960; 0.0988; 0.9792;12.707;0
 0.6797; 0.7868;-11.300; 0.2397;22.131; 0.5785; 0.4820;10.952;-19.176;11.389; 0.9205; -0.4229; -0.9167;-13.293; -0.5116;-13.356; 0.3326; -0.0401; -0.4568;17.423;0
-0.2051;21.656;-14.042; 0.0556; 0.1495;-27.121; -0.9808; -0.6879; -0.4347; -0.1430;-12.536; -0.3746;10.041; -0.3758; 0.3731;-10.644; 0.9142; 0.5791; 0.6651;-11.100;1
-0.1871; -0.0175; -0.9265;-15.011;-14.781; -0.7134; -0.5844;10.736; -0.7629;-11.693;-11.508; -0.2633; 0.4676; -0.9664; -0.0993;24.691; -0.3858; -0.9138; -0.3361; 0.0605;1
-0.8092;11.237;-11.604;-10.420; -0.2817; -0.4211; 0.7407;-12.523;-10.204; 0.0769; -0.6905; -0.0572; -0.1042;-11.011; -0.1335; -0.6830; -0.5447;-10.811;-18.110;-17.067;1
-0.9541;-29.416;-18.932; -0.3938;-24.024; -0.0639; 0.8246;-10.505; -0.1816; 0.1309;10.761;-23.523;-25.376;-15.101; 0.1368; -0.9179; -0.5445; -0.2994; -0.2982;-10.239;1
 0.9190; -0.3194; -0.7527;13.388; 0.7651;13.998; 0.2699; 0.0486; -0.3535; 0.4411; 0.2938; -0.2008; 0.0218; 0.2071; 0.0575; -0.1181; -0.0477;37.287; -0.0164; 0.7831;0
16.669; -0.3839; -0.2280; -0.2157; 0.3393;12.026; -0.6364; 0.9286;23.878; 0.4135;10.023;16.342; 0.4313; 0.4524;10.874;13.590;17.171;-15.873;16.716;32.649;0
-0.4078; -0.6741; -0.5181; -0.8389; -0.7595;17.673;11.598;-18.433;-16.239; 0.5679;10.690;-23.997; -0.6052; -0.5546; 0.5001; 0.2804; -0.2928;-12.450; 0.8426; 0.4629;1
-0.3438; -0.1739; -0.6549; -0.7821;20.776;13.049; -0.2648; -0.6820; 0.0744;13.807; 0.0817; -0.1063; 0.2320; 0.5576; -0.3211; -0.3333; -0.5777; -0.3035; -0.7787;15.534;0
-0.5701; 0.3868;11.428;10.844;-11.969;12.536; -0.5896;13.643; -0.1141;14.762;29.700;17.832; 0.5275; 0.7804; 0.4207; -0.4631; 0.6532; 0.1684; 0.4384; -0.3952;0
-0.8414; -0.5359;29.064; 0.8069; -0.1909; 0.1607;10.011; -0.2321; -0.5969; 0.2054; 0.5185;-12.176; 0.8949; 0.2954; -0.1691;26.002;29.243;19.223; -0.3629; -0.0349;0
 0.3672; -0.1598;11.018; 0.5652; -0.3960;-40.095; -0.3687;-22.519; -0.4834;-17.777;-13.169; -0.0920; -0.8363; 0.8129;-11.099;12.035; -0.5026;15.536; 0.0900; 0.2314;1
 0.2712;-11.028;-10.686; 0.8882; 0.1273; -0.4833; -0.5496; 0.2369; 0.7981; -0.4600; -0.0843;-13.433; 0.0181;-20.140; 0.4571; -0.0090; -0.7635; -0.3736; -0.7493;-15.959;1
10.225; 0.8488; -0.9474; -0.3643;-14.622; -0.2601; -0.2204; -0.1968; -0.8124;-10.681; -0.7973; 0.9472; 0.0028; -0.6349;-12.326; -0.2305;-21.587; 0.4701; 0.2823;-21.474;1
13.576; -0.3384;13.071;14.296; 0.3684;-18.503;13.212;12.725; 0.9293; 0.5118; -0.1847; 0.7228; -0.2866;13.356;18.638; 0.7262;-13.586;14.219; -0.4043;10.720;0
 0.4113; 0.0724; 0.5778;12.195; 0.0798;16.283;30.247;17.910; -0.2165; 0.8250; 0.5674; 0.1305; -0.7001; -0.6508;11.458; -0.0980; 0.2389;15.352;-16.901;17.941;0
18.207; -0.9154;15.569; 0.2243;12.845;10.398;19.815; -0.1705; 0.5582; 0.0298; 0.4328;21.021; 0.8313; -0.9396; -0.6031; 0.6388; 0.6262; 0.1847; 0.8019;13.511;0
-18.508; -0.8228; -0.8667; -0.0957; -0.7506;-18.986;22.758; 0.9871; 0.3924; 0.8006; 0.8931;-31.581; 0.0296; -0.5082;-20.338; -0.3167;-16.112;-21.758; -0.6290;-11.709;1
-10.327; -0.2666; -0.8219; -0.3516; 0.3748;-18.191; 0.5002;-14.964;12.087; -0.0279; -0.2238; 0.7301; 0.8280; -0.9901;23.180; 0.4509; -0.1453; 0.4028; -0.8190;-13.369;1
-0.1729;-28.386;-19.871;10.369; -0.0091; -0.7196; 0.0124; -0.0051;-11.443; -0.0992;-12.674; -0.8211;-11.314; -0.8800; -0.8052;-18.041; -0.7628; 0.5475; -0.1663; 0.5527;1
34.611; -0.0663; 0.4526; 0.3387;23.323; -0.0022; 0.3852; -0.1851;12.257; 0.5089;15.797;23.151; 0.5890; 0.0721;13.380; 0.7058; -0.6543; 0.7320; 0.7933;10.330;0
-0.0734;24.218; 0.4771; 0.9015;12.298;19.884; -0.6408; 0.4229;11.230;-10.139;26.143;25.188;17.499; -0.3540;10.412; 0.0374; 0.4442;-12.014; -0.8648; -0.0195;0
11.832; 0.9350; -0.0917; -0.4426;21.138;10.274; 0.2197;10.591; 0.8606; -0.8846;-23.166;12.382;10.141; 0.1799; 0.9439; -0.5491; -0.1926; -0.1972;13.361;14.905;0
-0.3529; -0.5850; -0.9779; 0.3747; 0.1138; 0.2766; 0.0106; -0.5694;-15.568;-14.798; 0.5310; 0.6476;-14.087;-10.544; -0.2633; 0.8722; -0.4233; 0.8136;-17.567; -0.5839;1
-11.134;-20.106;-16.698; 0.4711; -0.9635; 0.6463; -0.9370;13.310; 0.0752;13.852;-10.737; 0.5050; 0.1136; -0.1748; -0.2854; -0.0272;15.254; -0.3018; -0.4187; -0.2334;1
 0.6694; -0.9636; -0.3092;16.757; 0.0249;12.136; 0.8411;28.854; -0.6064;18.004;19.098; 0.7848;-10.625; 0.5294; 0.8662;21.532; 0.9003;14.023;18.030; 0.0265;0
-0.6027; -0.9021; 0.6615; 0.5841;-14.287; -0.6429;14.586;-16.472;-21.448;-14.568; 0.0322;-12.725;-10.297; -0.4015;10.991;-22.155; 0.9801;-17.565; -0.3997; -0.4916;1
18.369; -0.7654; -0.8878; -0.3607; 0.7786; 0.1961; -0.3068; 0.2582; 0.6493; -0.1774; -0.3653;22.576;10.745;17.456; 0.5138;12.108; 0.7255; -0.2510;10.366; 0.3668;0
-0.6212;12.713; 0.6531; 0.1133;15.034;12.778; 0.5551; 0.2973;12.830; 0.4391; 0.4033; -0.1028; 0.4185; -0.3986; -0.6175;11.188; -0.4243; -0.4380; 0.8952; -0.8230;0
-0.9358; 0.7067; 0.2576; 0.5212; 0.6177;-14.887;17.496; -0.0011; 0.7035;30.645; -0.9855;14.091; 0.4002;22.268;22.012;15.412; 0.1480;-19.874; 0.7132; -0.6529;0
 0.5642; 0.4558;-12.332;11.382; 0.8484; 0.3554;17.208; -0.5833;-20.298; 0.3906; -0.5480; 0.2350;-16.462;-20.736;-19.821; -0.9085; -0.2088; -0.6068; -0.7392;-13.675;1
-0.6302; 0.7520;-15.985; 0.0631;11.767;-16.683; 0.7911;15.351;-16.554;-12.818; -0.1032; -0.6549; -0.2763; 0.2223; -0.0504; -0.3175; 0.6381; -0.5290; 0.0672;15.635;1
 0.6104; -0.3196; 0.5808;-10.725;12.865; -0.4071; -0.7848; 0.4923; -0.0644; 0.5000;10.003; -0.2123; 0.1670;20.626; 0.4544;16.184;12.476; -0.4562; -0.5185; -0.8374;0
15.123; 0.2475; 0.9883; -0.8697;-20.025; -0.3425; -0.5750; -0.2403;17.034; -0.4794; -0.7267; -0.1034; -0.8705;13.768;15.294; 0.3869; -0.6122; 0.4881; -0.5028; -0.7970;0
12.546;17.375; -0.8419; 0.7722; 0.8900; 0.9582; -0.1813; 0.0411; -0.1338;15.508;22.292; 0.4811; 0.4552;-12.198; -0.0229; 0.1377; 0.5015; -0.0747; -0.5722;13.052;0
-11.412; 0.2697;26.835;20.797;15.099; -0.3040; -0.4762; 0.7476; -0.3041; 0.1958;-22.203;-13.020; 0.0720; 0.6889; 0.1090; 0.5126; -0.4005;10.775; -0.7404;25.050;0
-12.846; -0.6913;15.809; -0.8904; 0.4677;-20.672;19.830;-12.514;-14.249;-15.498; 0.2690; -0.2932;-15.600; -0.7238; -0.9460; 0.7757;-24.344; 0.9144; -0.6312;-18.304;1
10.337;-11.098; -0.9947;22.808; -0.4831; 0.0695; 0.3824; 0.0935; -0.7010; 0.5996; -0.7420;-13.326;-13.046; -0.0691; 0.2735; -0.6731;10.439; -0.5884;-17.190; -0.2466;1
16.395;12.003;12.225; -0.5640;27.722;-10.798; 0.1386; 0.1163; -0.3212; 0.8893; 0.3716;25.541;12.442; 0.5220; 0.4381; -0.0254; 0.3545; -0.7734; 0.6567; -0.5059;0
20.004; 0.2112; -0.9163; -0.4539;12.557; 0.9075; 0.2722; 0.5025; 0.9893; -0.6535;11.602; -0.8444; 0.9737; 0.3020;-14.556;-12.100;-12.413;10.286; 0.6405;-20.054;0
15.064; 0.0363;-18.831; -0.7856; -0.1014; -0.6696; 0.2890; -0.1491;-10.674; -0.3086; 0.8751; 0.1330; 0.1953;-12.490; 0.8082; 0.6296; -0.9731;-14.888; -0.2930; -0.3567;1
